name,id,x,y,confounder_1,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40
Barbara,BA2,154.380288,-30.349728,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brenda,BR3,-149.773319,-76.1306,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carol,CA4,-92.8101,-77.622553,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deborah,DE3,-50.427732,-33.295467,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandra,SAN,31.18151,38.382829,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian,BR4,166.994198,22.903836,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth,EL1,123.473703,71.654866,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas,DO2,102.407572,-4.455763,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas,NI5,-112.547142,-68.303351,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander,AL2,148.144385,-20.566343,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shirley,SH2,-25.581278,56.660798,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler,TY2,168.274969,-0.589334,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth,EL2,127.112109,75.686326,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon,BR5,147.161889,-29.311812,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nancy,NAN,163.327252,57.276461,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donna,DO3,-23.725867,42.738314,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jessica,JE4,47.125699,76.860004,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nancy,NA1,42.602021,-44.631504,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nancy,NA2,176.756091,55.27434,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deborah,DE4,173.710522,10.529274,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark,MA9,-68.066119,-29.484308,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry,HE2,-19.212966,24.455517,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betty,BE4,71.029751,57.990715,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander,AL3,87.041042,-22.367593,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nancy,NA3,33.245158,-58.828703,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christine,CH1,176.264665,-53.168924,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry,LA2,76.737389,-56.541462,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas,THO,124.797159,-12.479344,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert,ROB,-134.016005,-24.533339,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth,EL3,32.250249,25.062922,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kathleen,KA3,-82.550585,-55.824976,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karen,KA4,145.643691,75.847711,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James,JA3,18.440646,-69.908431,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nancy,NA4,-1.176757,-59.870612,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary,GA1,-26.194238,-1.018833,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard,RI2,-1.186464,5.125137,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimberly,KI2,169.419336,3.335119,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,VI1,95.792541,70.750378,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew,MA10,146.818526,-54.92955,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debra,DE5,-80.832692,-30.819833,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kathleen,KA5,153.826815,-3.241477,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,VI2,-104.034738,-11.364636,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas,NI6,-31.447558,-16.019625,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timothy,TIM,-173.13517,78.733738,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helen,HEL,164.04492,46.697016,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nancy,NA5,-164.38102,-38.554422,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony,AN5,-131.392448,-21.201955,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick,PA2,-35.920746,-0.983742,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony,AN6,165.043459,-86.209071,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin,BE5,-101.054555,4.32408,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph,JOS,-104.300391,-29.59619,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna,ANN,-113.182469,-64.559922,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angela,ANG,-65.259708,71.665322,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward,ED1,-22.000427,80.607806,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimberly,KI3,96.320817,-88.910946,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jessica,JE5,60.377553,54.884172,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William,WIL,165.182277,-89.211985,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heather,HEA,119.177743,-86.078524,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pamela,PA3,125.99835,-7.834075,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas,DO4,-42.503589,84.333917,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul,PAU,-149.684035,-24.305239,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jessica,JE6,-9.760934,57.978343,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher,CH2,-24.983353,-1.442345,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank,FRA,74.979153,-45.834027,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betty,BE6,130.770395,35.723432,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katherine,KA6,110.162125,-39.898451,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John,JO1,-34.054554,-84.285628,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew,AN7,31.632827,32.264979,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pamela,PA4,-109.212938,2.332423,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian,BR6,14.170186,67.833144,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas,NI7,-116.601962,89.764762,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimberly,KI4,119.975782,-0.266115,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank,FR1,174.565442,13.28634,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle,MI2,68.550231,30.904922,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew,AN8,40.061473,-32.440246,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle,MI3,-6.962179,-30.733594,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,JAC,78.697437,-38.296848,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brenda,BR7,-155.717637,-47.443858,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas,TH1,130.3503,3.474502,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth,EL4,-17.915134,-25.943328,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linda,LI1,-7.403187,67.766399,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorothy,DO5,152.121797,19.987732,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,VI3,-13.494368,89.197427,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carolyn,CA5,40.62954,11.72263,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christine,CH3,-134.154914,-42.828034,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph,JO2,135.257333,-72.744019,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deborah,DE6,52.396253,-85.214938,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
